#cluster	accession	definition	organism	taxid	length
PHA2685	NP_957974	ORF065 virion protein	Bovine papular stomatitis virus	129727	158
PHA2684	NP_957843	ORF066 virion protein	Orf virus	10258	291
PHA2683	YP_003457384	thioredoxin-like protein	Pseudocowpox virus	129726	83
PHA2681	NP_957866	ORF089 virion membrane protein	Orf virus	10258	92
PHA2680	YP_003457396	IMV membrane protein	Pseudocowpox virus	129726	92
PHA2679	NP_958000	ORF091 IMV membrane protein	Bovine papular stomatitis virus	129727	53
PHA2678	NP_958001	hypothetical protein	Bovine papular stomatitis virus	129727	92
PHA2676	YP_003457409	A-type inclusion protein	Pseudocowpox virus	129726	525
PHA2675	YP_003457410	viral fusion peptide	Pseudocowpox virus	129726	91
PHA2674	NP_958016	ORF107 virion morphogenesis	Bovine papular stomatitis virus	129727	61
PHA2673	NP_957886	ORF109 EEV glycoprotein	Orf virus	10258	164
PHA2672	NP_958019	ORF110 EEV glycoprotein	Bovine papular stomatitis virus	129727	167
PHA2671	NP_958020	hypothetical protein	Bovine papular stomatitis virus	129727	184
PHA2670	NP_958021	ORF112 putative chemokine-binding protein	Bovine papular stomatitis virus	129727	297
PHA2669	YP_003457420	hypothetical protein	Pseudocowpox virus	129726	214
PHA2668	NP_957894	ORF117 GM-CSF/IL-2 inhibition factor-like protein	Orf virus	10258	265
PHA2666	NP_957898	ORF121 hypothetical protein	Orf virus	10258	302
PHA2665	NP_957899	ORF122 hypothetical protein	Orf virus	10258	323
PHA2664	YP_003457428	hypothetical protein	Pseudocowpox virus	129726	548
PHA2663	NP_958033	hypothetical protein	Bovine papular stomatitis virus	129727	177
PHA2662	YP_003457307	membrane protein	Pseudocowpox virus	129726	229
PHA2661	NP_957915	vascular endothelial growth factor like protein	Bovine papular stomatitis virus	129727	152
PHA2660	YP_002302345	serpin-like protein	Deerpox virus W-1170-84	305676	364
PHA2659	YP_002302348	endothelin precursor	Deerpox virus W-1170-84	305676	69
PHA2658	YP_002302370	hypothetical protein	Deerpox virus W-1170-84	305676	92
PHA2657	YP_002302369	hypothetical protein	Deerpox virus W-1170-84	305676	95
PHA2656	YP_002302358	viral TNFR II-like protein	Deerpox virus W-1170-84	305676	199
PHA2655	YP_002302354	hypothetical protein	Deerpox virus W-1170-84	305676	94
PHA2653	NP_064863	RNA helicase NPH-II	Amsacta moorei entomopoxvirus 'L'	28321	720
PHA2652	YP_002302377	hypothetical protein	Deerpox virus W-1170-84	305676	70
PHA2651	YP_227429	IL-1 receptor antagonist	Deerpox virus W-848-83	305674	165
PHA2650	YP_002302392	hypothetical protein	Deerpox virus W-1170-84	305676	81
PHA2649	YP_002302410	hypothetical protein	Deerpox virus W-1170-84	305676	95
PHA2646	YP_002302429	virion protein	Deerpox virus W-1170-84	305676	156
PHA2644	YP_002302480	hypothetical protein	Deerpox virus W-1170-84	305676	115
PHA2643	YP_002302481	hypothetical protein	Deerpox virus W-1170-84	305676	82
PHA2642	YP_002302484	C-type lectin-like protein	Deerpox virus W-1170-84	305676	216
PHA2641	YP_002302489	hypothetical protein	Deerpox virus W-1170-84	305676	188
PHA2639	YP_002302497	EEV host range protein	Deerpox virus W-1170-84	305676	295
PHA2638	YP_227537	CC chemokine receptor-like protein	Deerpox virus W-848-83	305674	416
PHA2637	YP_717312	TNF-alpha-receptor-like protein	Taterapox virus	28871	98
PHA2636	YP_233083	hypothetical protein	Vaccinia virus	10245	56
PHA2635	YP_717520	ankyrin-like protein	Taterapox virus	28871	69
PHA2634	NP_042222	hypothetical protein	Variola virus	10255	97
PHA2633	NP_570583	hypothetical protein	Camelpox virus	28873	68
PHA2629	YP_717454	A-type inclusion body protein	Taterapox virus	28871	78
PHA2627	NP_570439	hypothetical protein	Camelpox virus	28873	73
PHA2624	NP_041264	large T antigen	Murine polyomavirus	10634	785
PHA2621	NP_043508	hypothetical protein	JC polyomavirus	10632	71
PHA2620	YP_002635564	VP2	Simian virus 12	46771	352
PHA2616	YP_001285485	VP2/VP3	WU Polyomavirus	440266	415
PHA2614	YP_003429322	VP1	California sea lion polyomavirus 1	715223	495
CLSP2513910	YP_001974434	fiber	Human adenovirus D	130310	362
CLSP2513909	YP_001974463	membrane protein E3 RID-beta	Human adenovirus D	130310	129
CLSP2513908	YP_068043	membrane glycoprotein E3 CR1-delta	Human adenovirus E	130308	274
CLSP2513907	YP_003038621	44.5 kDa protein	Human adenovirus 54	651580	415
CLSP2513906	YP_001974456	encapsidation protein 22K	Human adenovirus D	130310	137
CLSP2513903	YP_003038597	early E1A 13s	Human adenovirus 54	651580	253
CLSP2513901	YP_068045	membrane protein E3 RID-beta	Human adenovirus E	130308	146
CLSP2513900	YP_068040	membrane glycoprotein E3 CR1-alpha	Human adenovirus E	130308	210
CLSP2513860	YP_002898986	hypothetical protein	Sulfitobacter phage EE36phi1	490913	312
CLSP2513830	YP_002875756	structural protein	Lactococcus phage P087	641487	309
CLSP2513829	YP_002853972	hypothetical protein	Enterobacteria phage RB51	10693	86
CLSP2513827	YP_002790730	hypothetical protein	Lactobacillus phage Lb338-1	632112	95
CLSP2513824	YP_002854726	hypothetical protein	Euproctis pseudoconspersa nucleopolyhedrovirus	307467	223
CLSP2513823	YP_002321421	hypothetical protein	Oryctes rhinoceros virus	92521	69
CLSP2513822	YP_002321311	gp149	Caviid herpesvirus 2	33706	627
CLSP2513821	YP_002321266	gp83	Caviid herpesvirus 2	33706	565
CLSP2513819	YP_002308361	putative E4 protein	Caretta caretta papillomavirus 1	485241	146
CLSP2513817	YP_002308358	E7	Caretta caretta papillomavirus 1	485241	111
CLSP2513816	YP_002308357	E6	Caretta caretta papillomavirus 1	485241	85
CLSP2513815	YP_293799	hypothetical protein	Emiliania huxleyi virus 86	181082	136
CLSP2513814	YP_002261486	putative minor capsid protein VP2/3	Myotis polyomavirus VM-2008	563775	353
CLSP2513810	YP_002213828	fiber	Human adenovirus B	108098	325
CLSP2513808	YP_068042	membrane glycoprotein E3 CR1-beta	Human adenovirus E	130308	220
CLSP2513807	YP_002213787	membrane glycoprotein E3 CR1-alpha	Human adenovirus B	108098	146
CLSP2513806	YP_002922661	P47	Xanthomonas phage phiL7	538979	433
CLSP2513805	YP_002154762	putative ubiquitin-like putative cysteine protease	Feldmannia species virus	39420	418
CLSP2513804	YP_002154717	hypothetical protein	Feldmannia species virus	39420	144
CLSP2513803	YP_002154713	hypothetical protein	Feldmannia species virus	39420	977
CLSP2513802	YP_002154760	hypothetical protein	Feldmannia species virus	39420	382
CLSP2513801	YP_002154694	hypothetical protein	Feldmannia species virus	39420	348
CLSP2513800	YP_002154634	hypothetical protein	Feldmannia species virus	39420	430
CLSP2513799	YP_002154628	hypothetical protein	Feldmannia species virus	39420	84
CLSP2513798	YP_001957175	virion structural protein	Pseudomonas phage 201phi2-1	198110	419
CLSP2513794	YP_001651049	VP2	Merkel cell polyomavirus	493803	241
CLSP2513792	YP_001651018	hypothetical protein	Orgyia leucostigma NPV	490711	107
CLSP2513791	YP_874276	Vp80	Ectropis obliqua nucleopolyhedrovirus	59376	809
CLSP2513786	YP_001650974	hypothetical protein	Orgyia leucostigma NPV	490711	130
CLSP2513784	YP_002854652	IAP-1	Euproctis pseudoconspersa nucleopolyhedrovirus	307467	190
CLSP2513783	YP_001650952	hypothetical protein	Orgyia leucostigma NPV	490711	204
CLSP2513782	YP_001650949	hypothetical protein	Orgyia leucostigma NPV	490711	89
CLSP2513781	YP_002854663	lef6	Euproctis pseudoconspersa nucleopolyhedrovirus	307467	209
CLSP2513779	YP_001650918	early 23 kDa protein	Orgyia leucostigma NPV	490711	201
CLSP2513777	YP_003495066	hypothetical protein	Ostreococcus tauri virus 1	642926	205
CLSP2513774	YP_003495023	hypothetical protein	Ostreococcus tauri virus 1	642926	270
CLSP2513773	YP_001648211	hypothetical protein	Ostreococcus virus OsV5	489089	753
CLSP2513772	YP_001648177	hypothetical protein	Ostreococcus virus OsV5	489089	432
CLSP2513771	YP_003494914	hypothetical protein	Ostreococcus tauri virus 1	642926	349
CLSP2513769	YP_001648130	hypothetical protein	Ostreococcus virus OsV5	489089	386
CLSP2513768	YP_001955937	small t antigen	Bandicoot papillomatosis carcinomatosis virus type 2	500654	225
CLSP2513765	YP_002922576	hypothetical protein	Enterobacteria phage JS10	576790	122
CLSP2513753	YP_002922482	hypothetical protein	Enterobacteria phage JS10	576790	88
CLSP2513748	YP_002922461	hypothetical protein	Enterobacteria phage JS10	576790	132
CLSP2513740	YP_001552259	33K	Snake adenovirus 1	189830	180
CLSP2513733	YP_002922893	hypothetical protein	Escherichia phage wV8	576791	49
CLSP2513731	YP_002922826	hypothetical protein	Escherichia phage wV8	576791	53
CLSP2513726	YP_001498136	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	75
CLSP2513725	YP_001498896	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	78
CLSP2513724	YP_001498889	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	93
CLSP2513723	YP_001498102	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	91
CLSP2513722	YP_001498885	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	76
CLSP2513721	YP_001498884	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	206
CLSP2513720	YP_001498882	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	83
CLSP2513719	YP_001498865	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	74
CLSP2513718	YP_001498863	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	65
CLSP2513717	YP_001498851	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	87
CLSP2513716	YP_001498849	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	106
CLSP2513715	YP_001498044	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	80
CLSP2513714	YP_001498034	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	131
CLSP2513713	YP_001498832	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	76
CLSP2513712	YP_001498831	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	84
CLSP2513711	YP_001498824	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	81
CLSP2513710	YP_001498798	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	73
CLSP2513709	NP_048951	hypothetical protein	Paramecium bursaria Chlorella virus 1	10506	84
CLSP2513708	YP_001498794	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	108
CLSP2513707	YP_001498790	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	100
CLSP2513706	YP_001498438	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	81
CLSP2513705	YP_001498856	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	93
CLSP2513704	YP_001498783	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	81
CLSP2513703	YP_001498781	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	66
CLSP2513702	YP_001498778	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	79
CLSP2513701	YP_001498776	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	74
CLSP2513700	YP_001498765	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	83
CLSP2513699	YP_001498763	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	78
CLSP2513698	YP_001497951	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	97
CLSP2513697	YP_001497941	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	71
CLSP2513696	YP_001497938	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	71
CLSP2513695	YP_001498743	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	89
CLSP2513694	YP_001426669	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	67
CLSP2513693	YP_001498738	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	76
CLSP2513692	YP_001498735	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	88
CLSP2513691	YP_001498728	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	69
CLSP2513690	YP_001498727	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	80
CLSP2513689	YP_001498723	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	75
CLSP2513688	YP_001498720	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	67
CLSP2513687	YP_001498718	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	76
CLSP2513686	YP_001498714	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	95
CLSP2513685	NP_048884	hypothetical protein	Paramecium bursaria Chlorella virus 1	10506	94
CLSP2513684	YP_001498709	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	84
CLSP2513683	YP_001498707	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	99
CLSP2513682	YP_001498695	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	100
CLSP2513681	YP_001498694	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	129
CLSP2513680	YP_001498692	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	71
CLSP2513679	YP_001497869	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	71
CLSP2513678	YP_001426875	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	162
CLSP2513677	YP_001498004	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	91
CLSP2513676	YP_001497855	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	76
CLSP2513675	YP_001497850	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	79
CLSP2513674	YP_001498659	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	67
CLSP2513673	YP_001498657	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	68
CLSP2513672	YP_001498653	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	80
CLSP2513671	YP_001498646	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	109
CLSP2513670	YP_001498640	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	270
CLSP2513669	YP_001498631	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	102
CLSP2513668	YP_001498630	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	74
CLSP2513667	YP_001498629	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	78
CLSP2513666	YP_001498628	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	214
CLSP2513665	YP_001498617	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	70
CLSP2513664	YP_001498615	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	65
CLSP2513663	YP_001498614	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	84
CLSP2513662	YP_001497780	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	76
CLSP2513661	YP_001498606	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	66
CLSP2513660	YP_001426082	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	150
CLSP2513659	YP_001498589	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	123
CLSP2513658	YP_001497754	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	81
CLSP2513657	YP_001497753	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	79
CLSP2513656	YP_001498581	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	69
CLSP2513655	YP_001497747	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	103
CLSP2513654	YP_001498570	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	68
CLSP2513653	YP_001498569	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	66
CLSP2513652	YP_001498567	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	298
CLSP2513651	YP_001498563	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	66
CLSP2513650	YP_001498562	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	68
CLSP2513649	YP_001497727	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	77
CLSP2513648	YP_001497717	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	94
CLSP2513647	YP_001498541	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	90
CLSP2513646	YP_001498540	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	132
CLSP2513645	YP_001498539	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	95
CLSP2513644	YP_001498538	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	78
CLSP2513643	YP_001498537	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	165
CLSP2513642	YP_001498536	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	81
CLSP2513641	YP_001498535	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	122
CLSP2513640	YP_001498533	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	95
CLSP2513639	YP_001498532	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	66
CLSP2513638	YP_001498531	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	73
CLSP2513637	YP_001498526	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	70
CLSP2513636	YP_001498524	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	70
CLSP2513635	YP_001498523	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	111
CLSP2513634	YP_001498522	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	110
CLSP2513633	YP_001497693	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	251
CLSP2513632	YP_001498514	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	91
CLSP2513631	YP_001498513	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	112
CLSP2513630	YP_001498509	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	71
CLSP2513629	YP_001498507	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	132
CLSP2513628	NP_048406	hypothetical protein	Paramecium bursaria Chlorella virus 1	10506	215
CLSP2513627	YP_001497677	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	87
CLSP2513626	YP_001498503	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	73
CLSP2513625	YP_001498502	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	69
CLSP2513624	YP_001498501	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	72
CLSP2513623	YP_001498500	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	67
CLSP2513622	YP_001498498	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	78
CLSP2513621	YP_001498497	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	70
CLSP2513620	YP_001497665	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	403
CLSP2513619	YP_001498493	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	78
CLSP2513618	YP_001498492	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	68
CLSP2513617	YP_001498491	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	69
CLSP2513616	YP_001498490	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	85
CLSP2513615	YP_001498483	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	132
CLSP2513614	YP_001498480	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	73
CLSP2513613	YP_001497640	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	124
CLSP2513612	YP_001498466	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	68
CLSP2513611	YP_001498464	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	125
CLSP2513610	YP_001497629	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	273
CLSP2513609	YP_001498456	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	96
CLSP2513608	YP_001498454	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	104
CLSP2513607	YP_001498452	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	76
CLSP2513606	YP_001498451	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	132
CLSP2513605	YP_001498449	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	65
CLSP2513604	YP_001497614	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	384
CLSP2513603	YP_001498445	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	83
CLSP2513602	YP_001498443	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	92
CLSP2513601	YP_001498442	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	70
CLSP2513600	YP_001498441	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	87
CLSP2513599	YP_001498440	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	76
CLSP2513598	YP_001497603	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	319
CLSP2513597	YP_001498433	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	69
CLSP2513596	YP_001498430	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	271
CLSP2513595	YP_001498429	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	164
CLSP2513594	YP_001498428	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	85
CLSP2513593	YP_001498427	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	260
CLSP2513592	YP_001498426	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	67
CLSP2513591	YP_001498422	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	73
CLSP2513590	YP_001498421	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	138
CLSP2513589	YP_001498417	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	73
CLSP2513588	YP_001498416	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	93
CLSP2513587	YP_001498413	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	70
CLSP2513586	YP_001498412	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	89
CLSP2513585	YP_001498410	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	338
CLSP2513584	YP_001425740	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	71
CLSP2513583	YP_001498876	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	91
CLSP2513582	YP_001498385	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	86
CLSP2513581	YP_001498383	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	73
CLSP2513580	YP_001498382	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	126
CLSP2513579	YP_001498378	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	100
CLSP2513578	YP_001498377	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	86
CLSP2513577	YP_001498376	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	86
CLSP2513576	YP_001498372	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	93
CLSP2513575	YP_001497508	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	73
CLSP2513574	YP_001498370	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	80
CLSP2513573	YP_001498369	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	98
CLSP2513571	YP_001498360	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	78
CLSP2513570	YP_001497495	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	81
CLSP2513569	YP_001498355	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	65
CLSP2513568	YP_001498354	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	94
CLSP2513567	YP_001497476	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	99
CLSP2513566	YP_001497472	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	91
CLSP2513565	YP_001498326	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	190
CLSP2513564	YP_001498319	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	137
CLSP2513563	YP_001498316	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	96
CLSP2513562	YP_001498311	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	68
CLSP2513561	YP_001498308	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	67
CLSP2513560	YP_001498307	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	90
CLSP2513559	YP_001498306	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	78
CLSP2513558	YP_001498305	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	65
CLSP2513557	YP_001498303	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	72
CLSP2513556	YP_001498300	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	83
CLSP2513555	YP_001498297	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	93
CLSP2513554	YP_001498296	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	70
CLSP2513553	YP_001498295	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	115
CLSP2513552	YP_001498293	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	93
CLSP2513551	YP_001498291	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	84
CLSP2513550	YP_001498287	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	94
CLSP2513549	YP_001497641	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	99
CLSP2513548	YP_001498281	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	80
CLSP2513547	YP_001498278	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	65
CLSP2513546	YP_001497402	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	279
CLSP2513545	YP_001498274	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	70
CLSP2513544	YP_001497395	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	343
CLSP2513543	YP_001498270	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	75
CLSP2513542	YP_001497392	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	113
CLSP2513541	YP_001498258	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	83
CLSP2513540	YP_001497379	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	224
CLSP2513539	YP_001497752	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	374
CLSP2513538	YP_001498246	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	68
CLSP2513537	YP_001498243	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	77
CLSP2513536	YP_001497524	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	81
CLSP2513535	YP_001498238	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	161
CLSP2513534	YP_001498229	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	75
CLSP2513533	YP_001497338	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	122
CLSP2513532	YP_001498212	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	108
CLSP2513531	YP_001498211	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	65
CLSP2513530	YP_001498209	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	81
CLSP2513529	YP_001497525	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	123
CLSP2513528	YP_001497325	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	67
CLSP2513527	YP_001498201	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	81
CLSP2513526	YP_001498199	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	85
